REPORT_SPECIES_NAME,REPORT_SPECIES_DISPLAYNAME,REPORT_SPECIES_ID,STRUCTURE_DEF_ID,LINE_ID,FIELD_ID,FIELD_NAME,FIELD_TYPE,START_COLUMN,END_COLUMN,FIELD_WIDTH,IS_SIGNIFICANT,IS_INDEXED,LINE_NAME,LINE_TEMPLATE
BC2014P,BC2014P:SIBS WATCHLIST MONTHLY EXCEPTION RPT,41266,5219,9,7,CIF_NUMBER,Text,93,118,26,1,1,RptDetailLine003,AAA AAAAAA            :                                              AAA AAAAAA            :           999999999                                                                                    *
BC2022P,BC2022P:WATCHLIST C WITH CIF TAGGED MONTHLY-CFS,46153,8440,10,2,CIF_NUMBER,Text,3,21,19,1,1,RptDetailLine001,9           9999999999  AAAAAAAAA999                                                                       AA AAAAAA - AAAAAAA AAAAAAAAAAA                         9/99/9999     9 *
BC2060P,BC2060P,1,7222,10,5,CIF_NUMBER,Text,44,53,10,1,1,RptDetailLine001,A9999999A      / AA/ AA                      999999999  AAAAAAAAAA A                                                                *
BC2060P,BC2060P,1,7222,11,1,User_ID,Text,0,9,10,1,1,RptDetailLine002,*AAAAAAAA  AAA                                    9999  AAA  AAAAAAAAAA AAAA AA                                                     *
BC2064P,BC2064P:Successful Maintenance Activity Sum Rpt,45842,10319,7,1,CIF_NUMBER,Decimal,1,22,22,1,1,RptDetailsLine001,            999999999   A       A      A999        9999 AAAAAA AAAAAAAA AAAAAAA A                *AAAAAAA                AAA        *
BC2219P,BC2219P:LIST OF CUST FOREIGN TAX INFO EXCEPT RPT,38518,6499,9,4,ID_NUMBER,Text,45,60,16,1,1,RptDetailLine001,9999999999999999999   AAAAAAAAAAA.AAA        A9999            AA    AA       A                                                      *
BC2235PC,BC2235PC:Corporate Demographic CIC Weekly Rept,40059,4162,13,2,CIF_NUMBER,Text,3,21,19,1,1,RptDetailLine001,9            999999999 9A99AA9A9AAAA9A999AA  9999A      A    A  AAAAAAAAAA AAAAAAA AAAAAAAAA -  A   A   A999       A99A99A999                    *
BC2283P,BC2283P:BW Grp Transaction Access Matrix Rpt,42928,7553,8,1,DEPARTMENT,Text,0,9,10,1,1,RptDetailLine001,999           AAAA           *AAAAAAAA            9999           AAA999           AAA           A       AAAAAAAA AAAAAA                                                                 *
BC2283P,BC2283P:BW Grp Transaction Access Matrix Rpt,42928,7553,8,2,BW_GROUP,Text,14,22,9,1,1,RptDetailLine001,999           AAAA           *AAAAAAAA            9999           AAA999           AAA           A       AAAAAAAA AAAAAA                                                                 *
BC2283P,BC2283P:BW Grp Transaction Access Matrix Rpt,42928,7553,8,5,PROGRAM,Text,65,72,8,1,1,RptDetailLine001,999           AAAA           *AAAAAAAA            9999           AAA999           AAA           A       AAAAAAAA AAAAAA                                                                 *
BC7014P,BC7014P:Registered Addr Remediation Update Rpt,49128,10795,7,2,CIF_NUMBER,DigitCode,3,21,19,1,1,RptDetailLine001,"9  999999999           A   AAAAAAA AAAAAAA                 A/A          A/A     A/A              A/A                                 A/A                              A/A    AAAAAAAAAA, AAA      AA  *"
BC7014P,BC7014P:Registered Addr Remediation Update Rpt,49128,10795,7,14,COUNTRY,Text,194,196,3,1,1,RptDetailLine001,"9  999999999           A   AAAAAAA AAAAAAA                 A/A          A/A     A/A              A/A                                 A/A                              A/A    AAAAAAAAAA, AAA      AA  *"
BC9284P,BC9284P:SIBS Batch Sync to MSCRM-Resend Excep Rpt,49067,10753,10,2,CIF_NUMBER,Text,2,20,19,1,1,RptDetailLine001,9          9999999999     AAA     AA99999999999999999999      99/99/99    / 99:99:99                                                *
BC9284P,BC9284P:SIBS Batch Sync to MSCRM-Resend Excep Rpt,49067,10753,11,2,ERROR_CODE1,Text,2,25,24,1,1,RptDetailLine002,9 999 AAAAAAAA AAAAA                                                                                                                *
BCZ700PHC,BCZ700PHC:HCM Brch Successful Maint Act Report A,45299,7244,10,5,CIF_NUMBER,Text,44,53,10,1,1,RptDetailLine001,A9999999A      / AA/ AA                     9999999999  AAAAAAAA A                                                                  *
BCZ700PHC,BCZ700PHC:HCM Brch Successful Maint Act Report A,45299,7244,11,1,User_ID,Text,0,9,10,1,1,RptDetailLine002,*AAAAAAAA  AAA                                    9999  AAA  AAAAAAAAAA AAAA AA                                                     *
BCZ700PHK,BCZ700PHK:HK Brch Successful Maint Act Rpt,45290,7246,10,5,CIF_NUMBER,Text,44,53,10,1,1,RptDetailLine001,A9999999A      / AA/ AA                     9999999999  AAAAAAAA A                                                                  *
BCZ700PHK,BCZ700PHK:HK Brch Successful Maint Act Rpt,45290,7246,11,1,User_ID,Text,0,9,10,1,1,RptDetailLine002,*AAAAAAAA  AAA                                    9999  AAA  AAAAAAAAAA AAAA AA                                                     *
CCCCA308P,CCCCA308P:BOS Transaction Extraction Report,43900,5627,8,2,REC,Text,2,133,132,1,1,RptDetailLine001,9 9999999999999999999AAAAAA AAA999                           999999999999;                                                            *
CCCCA311P,CCCCA311P:BDC Transaction Extraction Rpt,44197,5912,8,4,CARD_NUMBER,Text,21,36,16,1,1,RptDetailLine001,9  99999999  999999  9999999999999999  99999999  99999999               99.99    AAA           999999.99    AAA   99                                                      9999999999  999999999A*
CCCCD018P,CCCCD018P,10806,8131,11,3,CARD_NO_CORP_AC,Text,17,33,17,1,1,RptDetailsLine001,   9  A-A        9999999999999999                                             9999   999   9999999              999999999999               .99   99/99/99              9     AA99999         A            *
CCCCD020P,CCCCD020P,10804,8134,8,3,CARD_NO,Text,19,34,16,1,1,RptDetailsLine001,   9  A-A          9999999999999999                                             AAAA AAAAAA                                                   99      AA99999     99:99:99  AA AAAA        99                A                   *
CCCCD021P,CCCCD021P,10805,8135,8,3,CARD_NO,Text,19,35,17,1,1,RptDetailsLine001,   9   A-A         9999999999999999                                                     999999999999    AAA                                AA99999                        99:99:99     *
CCCCD023P,CCCCD023P,10790,4135,8,4,TRX_CD,Decimal,23,25,3,1,1,RptDetailsLine001, A                 999   9    9999999999999999  A     A   999    99999    999    99    999             999.99  AAA 99/99/99  A             *
CCCCD023P,CCCCD023P,10790,4135,8,5,CARD_NO_CUST_AC,Text,27,45,19,1,1,RptDetailsLine001, A                 999   9    9999999999999999  A     A   999    99999    999    99    999             999.99  AAA 99/99/99  A             *
CCCCD023P,CCCCD023P,10790,4135,8,9,GL_AC_ACCT,DigitCode,65,69,5,1,1,RptDetailsLine001, A                 999   9    9999999999999999  A     A   999    99999    999    99    999             999.99  AAA 99/99/99  A             *
CCCCD024P,CCCCD024P,10789,4136,8,5,CARD_NO_CUST_AC,Text,26,44,19,1,1,RptDetailsLine001,  A                 9 999    9999999999999999  A    A     999    99999    999    99    999             999.99 AAA 99/99/99  A                           *
CCCCD025P,CCCCD025P,10788,4137,8,5,CARD_NO_CUST_AC,Text,27,45,19,1,1,RptDetailsLine001,  A                999 999    9999999999999999  A    A    999    99999    999    99    999             999.99 AAA 99/99/99  A                           *
CCCCD091P,CCCCD091P:Merchant Settlement Rpt-CUP,32400,8610,7,2,MER_ID,Text,3,13,11,1,1,RptDetailLine001, 9    99999999  9999 9AAA AAAAA AAA AAA               A            9999.99-              .99             99.99-          9999.99- 9 *
CCCCD099Q,CCCCD099Q:Zero Exempted Rpt,32612,1798,8,3,CARD_NO,Decimal,26,41,16,1,1,RptDetailsLine001, 9/99/9999    9/99/9999          999999999      AA         999  AAAAAAAA AAAAAAA                                               9.99-*
CCCCD108P,CCCCD108P:Change in Agreement Status Rpt,38277,3600,7,8,CIF_NO,Text,66,84,19,1,1,RptDetailLine002,AAAAA AAAA : AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA   AAA AA. : 9999999999999999999   AA AA : AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA   AAAA AA : 9999999999999999999                           *
CCCCD122P,CCCCD122P:CRS Overpayment Report,42433,4673,9,2,CIF,Text,3,32,30,1,1,RptDetailLine001,"9            999999999             AA AAAA AA AAA 999                                    999999999 AAAAAA               9,999.99-   *"
CCCCD127P,CCCCD127P:Daily CC COI Report,44194,5905,11,6,MERCHANT_ID,Text,44,64,21,1,1,RptDetailLine001,9  9999 9999 9999 9999                         99999999                         999.99                 99.99                 999.99 *
CCCCD128PA,CCCCD128PA:BT n CW Spooling Rpt(Successful),44195,5907,8,2,CARD_NUMBER,Text,3,24,22,1,1,RptDetailLine001,9  9999 9999 9999 9999    AA                      A9999999A                  9999999999999999999                999.99              *
CCCCD128PB,CCCCD128PB:BT n CW Spooling Rpt(Successful),44198,5909,8,2,CARD_NUMBER,Text,3,24,22,1,1,RptDetailLine001,9  9999 9999 9999 9999    AA                      A9999999A                  9999999999999999999                999.99              *
CCCCD134P,CCCCD134P:Hadoop Acknowledgement Exceptional,44250,5997,7,2,Txn_Ref_No,DigitCode,3,24,22,1,1,RptDetailLine001,9  99999999999999999        99/99/99   9999 9999 9999 9999   999999999     9/99/99                     9.99          999            99/99/99      AAA             AA AAAAAAAA AAAA AAAAAA*
