DOMAIN_ID,REPORT_SPECIES_ID,SECTION_ID,NAME
0,0,0,Default Section
0,0,1,Default Section
1,0,669,501 49
1,0,670,503 00
1,0,671,504 00
1,0,672,504 49
1,0,673,506 00
1,0,674,506 30
1,0,675,507 00
1,0,676,508 00
1,0,677,509 00
1,0,678,509 79
1,0,679,510 00
1,0,680,511 00
1,0,681,512 00
1,0,682,514 00
1,0,683,515 00
1,0,684,515 49
1,0,685,516 00
1,0,686,517 00
1,0,687,517 49
1,0,688,518 00
1,0,689,518 79
1,0,690,519 00
1,0,691,520 79
1,0,692,521 00
1,0,693,521 30
1,0,694,522 00
1,0,695,524 00
1,0,696,525 00
1,0,697,526 00
1,0,698,526 49
1,0,699,527 00
1,0,700,528 00
1,0,701,529 00
1,0,702,531 00
1,0,703,531 49
1,0,704,532 00
1,0,705,534 00
1,0,706,536 00
1,0,707,539 00
1,0,708,543 00
1,0,709,545 00
1,0,710,549 00
1,0,711,550 00
1,0,712,551 00
1,0,713,552 00
1,0,714,553 00
1,0,715,554 00
1,0,716,556 00
1,0,717,557 00
1,0,718,558 00
1,0,719,565 00
1,0,720,601 00
1,0,721,601 49
1,0,722,602 00
1,0,723,603 00
1,0,724,603 30
1,0,725,701 00
1,0,726,701 49
1,0,727,702 00
1,0,728,702 30
1,0,729,703 00
1,0,730,704 00
1,0,2788,10
1,0,2789,20
1,0,2790,22
1,0,2791,30
1,0,2792,41
1,0,2793,48
1,0,2794,49
1,0,2795,51
1,0,2796,79
1,0,2797,80
1,0,2798,94
1,0,2799,95
1,0,2800,96
1,0,2801,00
1,0,2802,31
1,0,3033,504
1,0,3034,506
1,0,3035,507
1,0,3036,508
1,0,3037,509
1,0,3038,510
1,0,3039,511
1,0,3040,512
1,0,3041,514
1,0,3042,515
1,0,3043,516
1,0,3044,517
1,0,3045,518
1,0,3046,519
1,0,3047,520
1,0,3048,521
1,0,3049,522
1,0,3050,524
1,0,3051,525
1,0,3052,526
1,0,3053,527
1,0,3054,528
1,0,3055,529
1,0,3056,530
1,0,3057,531
1,0,3058,532
1,0,3059,533
1,0,3060,534
1,0,3061,535
1,0,3062,536
1,0,3063,537
1,0,3064,538
1,0,3065,539
1,0,3066,540
1,0,3067,541
1,0,3068,542
1,0,3069,543
1,0,3070,544
1,0,3071,545
1,0,3072,546
1,0,3073,547
1,0,3074,548
1,0,3075,549
1,0,3076,550
1,0,3077,551
1,0,3078,552
1,0,3079,553
1,0,3080,554
1,0,3081,555
1,0,3082,556
1,0,3083,557
1,0,3084,558
1,0,3085,560
1,0,3086,561
1,0,3087,562
1,0,3088,564
1,0,3089,565
1,0,3090,601
1,0,3091,602
1,0,3092,603
1,0,3093,604
1,0,3094,701
1,0,3095,702
1,0,3096,703
1,0,3097,704
1,0,3098,705
1,0,3099,501 31
1,0,4337,501 10
1,0,4338,501 22
1,0,4339,501 30
1,0,4340,501 41
1,0,4341,501 48
1,0,4342,501 62
1,0,4343,501 79
1,0,4344,501 80
1,0,4345,503 30
1,0,4346,508 30
1,0,4347,509 49
1,0,4348,511 30
1,0,4349,514 30
1,0,4350,515 30
1,0,4351,517 30
1,0,4352,520 00
1,0,4353,529 30
1,0,4354,530 00
1,0,4355,531 30
1,0,4356,533 00
1,0,4357,535 00
1,0,4358,537 00
1,0,4359,538 00
1,0,4360,540 00
1,0,4361,542 00
1,0,4362,544 00
1,0,4363,546 00
1,0,4364,547 00
1,0,4365,548 00
1,0,4366,555 00
1,0,4367,601 30
1,0,4368,601 62
1,0,4369,601 79
1,0,4370,602 30
1,0,4371,604 00
1,0,4372,701 30
1,0,4373,701 62
1,0,4374,701 79
1,0,4375,703 30
1,0,4376,705 00
1,0,4377,705 30
1,0,4379,501 16
1,0,4380,504 30
1,0,4498,560 00
1,0,4499,564 00
1,0,4505,501 00
1,0,8035,501 51
1,0,8036,504 80
1,0,8041,701 80
1,0,8042,601 80
1,0,8285,501 03
1,0,8286,501 13
1,0,8287,501 20
1,0,8288,516 30
1,0,8289,519 30
1,0,8290,524 49
1,0,8291,528 79
1,0,8292,534 79
1,0,8293,515 80
1,0,8294,517 92
1,0,8295,501 96
1,0,8296,514 97
1,0,8297,705 79
1,0,8298,601 10
1,0,8299,603 49
1,0,8300,602 79
1,0,8301,508 80
1,0,8302,602 49
1,0,9096,524 30
1,0,9097,529 62
1,0,9098,541 00
1,0,9099,561 00
1,0,9100,562 00
1,0,9101,604 30
1,0,9102,616 00
1,0,9103,701 41
1,0,9104,703 79
1,0,9105,704 30
1,0,9341,503 49
1,0,9342,503 79
1,0,9343,504 79
1,0,9344,506 79
1,0,9345,507 30
1,0,9346,507 79
1,0,9347,508 79
1,0,9348,511 79
1,0,9349,514 79
1,0,9350,515 79
1,0,9351,517 79
1,0,9352,519 79
1,0,9353,521 48
1,0,9354,521 79
1,0,9355,521 80
1,0,9356,522 79
1,0,9357,526 30
1,0,9358,526 79
1,0,9359,527 79
1,0,9360,529 79
1,0,9361,531 79
1,0,9362,532 79
1,0,9363,535 30
1,0,9364,535 79
1,0,9365,536 30
1,0,9366,536 79
1,0,9367,543 30
1,0,9368,543 79
1,0,9369,545 30
1,0,9370,549 49
1,0,9371,552 30
1,0,9372,553 30
1,0,9373,603 79
1,0,9374,702 79
1,0,9375,705 41
1,0,9376,705 49
1,0,9591,509 30
1,0,9592,512 30
1,0,9593,538 79
1,0,9594,550 30
1,0,11095,503
1,0,11861,501 G
1,0,11862,501 M
1,0,11863,508 M
1,0,11864,514 M
1,0,11865,521 M
1,0,11866,536 M
1,0,11867,553 M
1,0,11868,501 N
1,0,11869,501 P
1,0,11870,508 P
1,0,11871,508 R
1,0,11872,501 V
1,0,11873,501 E
1,0,11874,501 F
1,0,11875,501 I
1,0,11876,503 M
1,0,11877,533 M
1,0,11878,535 M
1,0,11879,551 M
1,0,11880,555 M
1,0,11881,558 M
1,0,11882,561 M
1,0,11883,562 M
1,0,11884,501 R
1,0,11885,501 W
1,0,14379,611
1,0,14380,651
1,0,14381,652
1,0,14382,666
1,0,14511,566
1,0,14512,613
1,0,14513,614
1,0,14514,616
1,0,14515,618
1,0,14516,621
1,0,14517,622
1,0,14518,630
1,0,14519,650
1,0,14520,653
1,0,14521,656
1,0,14522,657
1,0,14523,659
1,0,14524,660
1,0,14525,662
1,0,14526,665
1,0,14527,667
